PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6568,NH17-02 6568,205,16395.86512377522,11781962.708952151,"-81.150,31.455,-81.101,31.498"
NH17-02, 6569,NH17-02 6569,206,19207.817208798337,23058500.282639526,"-81.101,31.455,-81.051,31.498"
NH17-02, 6572,NH17-02 6572,207,19207.817130869113,23058413.73430922,"-80.949,31.455,-80.899,31.498"
NH17-02, 6573,NH17-02 6573,208,19207.795177899658,23058361.038304906,"-80.899,31.455,-80.848,31.498"
NH17-02, 6574,NH17-02 6574,209,19207.76237391257,23058282.295772716,"-80.848,31.455,-80.798,31.498"
NH17-02, 6575,NH17-02 6575,210,19207.718469879226,23058176.90635012,"-80.798,31.454,-80.747,31.498"
NH17-02, 6576,NH17-02 6576,211,19207.663995341685,23058046.146535445,"-80.747,31.454,-80.697,31.498"
NH17-02, 6577,NH17-02 6577,212,19207.598420804436,23057888.74034904,"-80.697,31.454,-80.646,31.498"
NH17-02, 6578,NH17-02 6578,213,19207.522078243484,23057705.48816123,"-80.646,31.454,-80.596,31.498"
NH17-02, 6579,NH17-02 6579,214,19207.43460416802,23057495.516378086,"-80.596,31.454,-80.545,31.497"
NH17-02, 6580,NH17-02 6580,215,19207.336279065115,23057259.499528367,"-80.545,31.454,-80.495,31.497"
NH17-02, 6581,NH17-02 6581,216,19207.226937010855,23056997.039662443,"-80.495,31.454,-80.444,31.497"
NH17-02, 6582,NH17-02 6582,217,19207.106743925608,23056708.537092775,"-80.444,31.453,-80.393,31.497"
NH17-02, 6583,NH17-02 6583,218,19206.97561686887,23056393.786900327,"-80.394,31.453,-80.343,31.497"
NH17-02, 6584,NH17-02 6584,219,19206.833867861642,23056053.545685306,"-80.343,31.453,-80.292,31.496"
NH17-02, 6585,NH17-02 6585,220,19206.680758329916,23055686.037198037,"-80.293,31.452,-80.242,31.496"
NH17-02, 6586,NH17-02 6586,221,19206.51705853191,23055293.11462065,"-80.242,31.452,-80.191,31.496"
NH17-02, 6587,NH17-02 6587,222,19206.342278577467,23054873.59697829,"-80.192,31.452,-80.141,31.495"
NH17-02, 6588,NH17-02 6588,223,19206.156679271226,23054428.116578184,"-80.141,31.452,-80.090,31.495"
NH17-02, 6589,NH17-02 6589,224,19205.960031466937,23053956.12194429,"-80.091,31.451,-80.040,31.495"
NH17-02, 6590,NH17-02 6590,225,19205.752366863435,23053457.68878956,"-80.040,31.451,-79.989,31.494"
NH17-02, 6617,NH17-02 6617,226,11893.763996496546,5141987.164756701,"-81.175,31.411,-81.151,31.452"
NH17-02, 6618,NH17-02 6618,227,19078.209808914366,23030460.048546515,"-81.152,31.411,-81.101,31.455"
NH17-02, 6619,NH17-02 6619,228,19207.811503918965,23058326.755221933,"-81.101,31.411,-81.050,31.455"
NH17-02, 6620,NH17-02 6620,229,19207.822603101606,23058440.344876096,"-81.051,31.411,-81.000,31.455"
NH17-02, 6621,NH17-02 6621,230,19207.822426902567,23058439.92128608,"-81.000,31.411,-80.949,31.455"
NH17-02, 6625,NH17-02 6625,231,19207.713083252533,23058177.44861201,"-80.798,31.411,-80.747,31.455"
NH17-02, 6626,NH17-02 6626,232,19207.658556199956,23058046.56173771,"-80.748,31.411,-80.697,31.454"
NH17-02, 6627,NH17-02 6627,233,19207.592899123105,23057888.958153278,"-80.697,31.411,-80.646,31.454"
NH17-02, 6628,NH17-02 6628,234,19207.516360927657,23057705.236214913,"-80.647,31.411,-80.596,31.454"
NH17-02, 6629,NH17-02 6629,235,19207.428921742554,23057495.348046362,"-80.596,31.411,-80.545,31.454"
NH17-02, 6630,NH17-02 6630,236,19207.330632990663,23057259.417619362,"-80.546,31.410,-80.495,31.454"
NH17-02, 6631,NH17-02 6631,237,19207.221360324136,23056997.122233484,"-80.495,31.410,-80.444,31.454"
NH17-02, 6632,NH17-02 6632,238,19207.101372422192,23056709.109731667,"-80.445,31.410,-80.394,31.454"
NH17-02, 6633,NH17-02 6633,239,19206.97008862016,23056393.98458019,"-80.394,31.410,-80.343,31.453"
