Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
302,576,23039999.99999999,4,5,1,4.199652777777778,0.39973934770472225,2419.0,2,4,5,4
303,577,23079999.99999999,4,5,1,4.59792027729636,0.4903178757644913,2653.0,2,5,4,5
304,575,22999999.99999999,3,5,2,4.321739130434783,0.5524306147571666,2485.0,3,4,3,4
305,577,23079999.99999999,3,5,2,3.7227036395147315,0.8866744895800388,2148.0,3,3,4,3
306,576,23039999.99999999,3,4,1,3.0069444444444446,0.08304347738264331,1732.0,2,3,4,3
307,576,23039999.99999999,3,4,1,3.0086805555555554,0.09276423616245202,1733.0,2,3,4,3
308,577,23079999.99999999,2,3,1,2.748700173310225,0.4337605604425844,1586.0,2,3,2,3
309,576,23039999.99999999,2,3,1,2.0104166666666665,0.1015291077584267,1158.0,2,2,3,2
310,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
311,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
312,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
313,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
314,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
315,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
316,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
317,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
318,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
